# pxname,svname,qcur,qmax,scur,smax,slim,stot,bin,bout,dreq,dresp,ereq,econ,eresp,wretr,wredis,status,weight,act,bck,chkfail,chkdown,lastchg,downtime,qlimit,pid,iid,sid,throttle,lbtot,tracked,type,rate,rate_lim,rate_max,check_status,check_code,check_duration,hrsp_1xx,hrsp_2xx,hrsp_3xx,hrsp_4xx,hrsp_5xx,hrsp_other,hanafail,req_rate,req_rate_max,req_tot,cli_abrt,srv_abrt,comp_in,comp_out,comp_byp,comp_rsp,lastsess,last_chk,last_agt,qtime,ctime,rtime,ttime,agent_status,agent_code,agent_duration,check_desc,agent_desc,check_rise,check_fall,check_health,agent_rise,agent_fall,agent_health,addr,cookie,mode,algo,conn_rate,conn_rate_max,conn_tot,intercepted,dcon,dses,
bookface,FRONTEND,,,0,13,2000,1481,54983516,392204966,0,0,30,,,,,OPEN,,,,,,,,,1,2,0,,,,0,0,0,122,,,,0,148985,0,55,254,0,,0,691,149300,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,http,,0,122,1481,0,0,0,
nodes,www1,0,0,0,0,,0,0,0,,0,,0,0,0,0,DOWN,1,1,0,3,1,88674,88674,,1,3,1,,0,,2,0,,0,L4TOUT,,2001,0,0,0,0,0,0,,,,,0,0,,,,,-1,,,0,0,0,0,,,,Layer4 timeout,,2,3,0,,,,,,http,,,,,,,,
nodes,www2,0,0,0,0,,0,0,0,,0,,0,0,0,0,DOWN,1,1,0,3,1,88686,88686,,1,3,2,,0,,2,0,,0,L4TOUT,,2001,0,0,0,0,0,0,,,,,0,0,,,,,-1,,,0,0,0,0,,,,Layer4 timeout,,2,3,0,,,,,,http,,,,,,,,
nodes,BACKEND,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,DOWN,0,0,0,,1,88674,88674,,1,3,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,-1,,,0,0,0,0,,,,,,,,,,,,,,http,,,,,,,,
dockernodes,www1docker,0,0,0,0,,0,0,0,,0,,0,0,0,0,DOWN,1,1,0,1,1,89175,89175,,1,4,1,,0,,2,0,,0,L4TOUT,,2002,0,0,0,0,0,0,,,,,0,0,,,,,-1,,,0,0,0,0,,,,Layer4 timeout,,2,3,0,,,,,,http,,,,,,,,
dockernodes,www2docker,0,0,0,0,,0,0,0,,0,,0,0,0,0,DOWN,1,1,0,1,1,89175,89175,,1,4,2,,0,,2,0,,0,L4TOUT,,2002,0,0,0,0,0,0,,,,,0,0,,,,,-1,,,0,0,0,0,,,,Layer4 timeout,,2,3,0,,,,,,http,,,,,,,,
dockernodes,BACKEND,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,DOWN,0,0,0,,1,89175,89175,,1,4,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,-1,,,0,0,0,0,,,,,,,,,,,,,,http,,,,,,,,
swarmnode,ww1,0,0,0,12,,149024,54888029,392145225,,0,,2,0,6,0,UP,1,1,0,3,1,88833,0,,1,5,1,,149018,,2,0,,691,L4OK,,1,0,148985,0,25,0,0,,,,,3,0,,,,,9,,,0,0,7,28,,,,Layer4 check passed,,2,3,4,,,,,,http,,,,,,,,
swarmnode,BACKEND,0,0,0,12,200,149270,54983516,392198901,0,0,,254,0,6,0,UP,1,1,0,,1,88833,68,,1,5,0,,149018,,1,0,,691,,,,0,148985,0,25,254,0,,,,149264,3,0,0,0,0,0,9,,,0,0,7,28,,,,,,,,,,,,,,http,,,,,,,,
stats,FRONTEND,,,1,5,2000,99,101032,6489789,0,0,19,,,,,OPEN,,,,,,,,,1,6,0,,,,0,1,0,4,,,,0,259,0,27,0,0,,1,8,287,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,http,,1,4,99,260,0,0,
stats,BACKEND,0,0,0,0,200,0,101032,6489789,0,0,,0,0,0,0,UP,0,0,0,,0,89177,,,1,6,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,523,,,,,,,,,,,,,,http,,,,,,,,
